[2025-11-26T03:49:32.356+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:49:33.630+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127072.json -> /tmp/minio_downloads/1764127072.json
[2025-11-26T03:49:33.639+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127083.json -> /tmp/minio_downloads/1764127083.json
[2025-11-26T03:49:33.648+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127093.json -> /tmp/minio_downloads/1764127093.json
[2025-11-26T03:49:33.656+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127102.json -> /tmp/minio_downloads/1764127102.json
[2025-11-26T03:49:33.668+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127112.json -> /tmp/minio_downloads/1764127112.json
[2025-11-26T03:49:33.681+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127122.json -> /tmp/minio_downloads/1764127122.json
[2025-11-26T03:49:33.694+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127132.json -> /tmp/minio_downloads/1764127132.json
[2025-11-26T03:49:33.714+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127141.json -> /tmp/minio_downloads/1764127141.json
[2025-11-26T03:49:33.730+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127152.json -> /tmp/minio_downloads/1764127152.json
[2025-11-26T03:49:33.750+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127162.json -> /tmp/minio_downloads/1764127162.json
[2025-11-26T03:49:33.766+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127172.json -> /tmp/minio_downloads/1764127172.json
[2025-11-26T03:49:33.780+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127181.json -> /tmp/minio_downloads/1764127181.json
[2025-11-26T03:49:33.793+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127191.json -> /tmp/minio_downloads/1764127191.json
[2025-11-26T03:49:33.808+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127201.json -> /tmp/minio_downloads/1764127201.json
[2025-11-26T03:49:33.825+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127211.json -> /tmp/minio_downloads/1764127211.json
[2025-11-26T03:49:33.845+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127222.json -> /tmp/minio_downloads/1764127222.json
[2025-11-26T03:49:33.862+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127232.json -> /tmp/minio_downloads/1764127232.json
[2025-11-26T03:49:33.878+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127243.json -> /tmp/minio_downloads/1764127243.json
[2025-11-26T03:49:33.893+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127252.json -> /tmp/minio_downloads/1764127252.json
[2025-11-26T03:49:33.907+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127262.json -> /tmp/minio_downloads/1764127262.json
[2025-11-26T03:49:33.927+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127272.json -> /tmp/minio_downloads/1764127272.json
[2025-11-26T03:49:33.943+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127283.json -> /tmp/minio_downloads/1764127283.json
[2025-11-26T03:49:33.959+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127293.json -> /tmp/minio_downloads/1764127293.json
[2025-11-26T03:49:33.980+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127303.json -> /tmp/minio_downloads/1764127303.json
[2025-11-26T03:49:33.996+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127313.json -> /tmp/minio_downloads/1764127313.json
[2025-11-26T03:49:34.016+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127322.json -> /tmp/minio_downloads/1764127322.json
[2025-11-26T03:49:34.039+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127332.json -> /tmp/minio_downloads/1764127332.json
[2025-11-26T03:49:34.059+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127342.json -> /tmp/minio_downloads/1764127342.json
[2025-11-26T03:49:34.080+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127351.json -> /tmp/minio_downloads/1764127351.json
[2025-11-26T03:49:34.104+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127062.json -> /tmp/minio_downloads/1764127062.json
[2025-11-26T03:49:34.124+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127071.json -> /tmp/minio_downloads/1764127071.json
[2025-11-26T03:49:34.142+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127082.json -> /tmp/minio_downloads/1764127082.json
[2025-11-26T03:49:34.158+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127092.json -> /tmp/minio_downloads/1764127092.json
[2025-11-26T03:49:34.174+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127102.json -> /tmp/minio_downloads/1764127102.json
[2025-11-26T03:49:34.189+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127111.json -> /tmp/minio_downloads/1764127111.json
[2025-11-26T03:49:34.205+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127121.json -> /tmp/minio_downloads/1764127121.json
[2025-11-26T03:49:34.222+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127131.json -> /tmp/minio_downloads/1764127131.json
[2025-11-26T03:49:34.240+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127140.json -> /tmp/minio_downloads/1764127140.json
[2025-11-26T03:49:34.256+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127151.json -> /tmp/minio_downloads/1764127151.json
[2025-11-26T03:49:34.271+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127161.json -> /tmp/minio_downloads/1764127161.json
[2025-11-26T03:49:34.288+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127171.json -> /tmp/minio_downloads/1764127171.json
[2025-11-26T03:49:34.307+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127180.json -> /tmp/minio_downloads/1764127180.json
[2025-11-26T03:49:34.323+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127190.json -> /tmp/minio_downloads/1764127190.json
